region,state,agro_zone,crop_type,crop_variety,soil_type,soil_pH,soil_nitrogen,soil_phosphorus,soil_potassium,rainfall_mm,temperature_C,fertilizer_type,fertilizer_amount_kg_ha,irrigation_type,yield_kg_ha,humidity
Northeast,Gombe,Sudan Savanna,Sorghum,ICSV 400,Sandy Loam,4.4,36.6,41.2,51.3,884.8,38.8,None,0.0,Rainfed,948.4,58.6
Northeast,Yobe,Sudan Savanna,Sorghum,ICSV 400,Loamy,4.2,10.5,104.0,42.8,688.5,31.3,Urea,86.2,Sprinkler,445.4,26.3
Northwest,Katsina,Sudan Savanna,Sorghum,SAMSORG 17,Sandy Loam,5.8,145.9,19.3,214.8,386.0,39.4,Urea,117.9,None,2460.3,39.3
Northeast,Yobe,Sudan Savanna,Sorghum,SAMSORG 14,Loamy,5.8,89.8,97.2,144.9,689.7,26.7,NPK,168.1,Surface,2612.4,37.5
Northcentral,Nasarawa,Northern Guinea Savanna,Maize,Oba Super-1,Loamy,6.7,98.9,38.5,62.2,1188.5,28.4,Urea,145.0,Surface,3757.1,68.7
Northeast,Gombe,Sudan Savanna,Sorghum,ICSV 400,Alluvial,6.8,62.6,8.8,54.8,807.5,36.6,Urea,157.2,Rainfed,487.0,23.0
Northcentral,Benue,Derived Savanna,Cassava,TME 419,Sandy Loam,5.4,126.4,31.9,135.7,1346.6,30.8,Organic,137.2,None,10753.8,79.6
Northcentral,Kogi,Derived Savanna,Rice,FARO 52,Alluvial,6.1,76.2,91.9,211.9,1169.9,30.5,Organic,146.7,Rainfed,3556.9,78.5
Northcentral,Niger,Northern Guinea Savanna,Tomato,Dan Mazari,Sandy,4.4,105.0,41.8,154.0,786.1,29.6,Organic,120.4,Rainfed,9393.1,43.3
Northcentral,Benue,Derived Savanna,Cassava,TMS 98/0505,Alluvial,5.5,130.0,12.5,182.9,1323.8,32.7,Urea,60.9,Sprinkler,8969.2,55.1
Northeast,Taraba,Northern Guinea Savanna,Cassava,TMS 98/0505,Alluvial,5.8,26.8,12.4,135.1,1038.3,33.3,Urea,145.6,Sprinkler,11400.6,68.6
Southwest,Osun,Derived Savanna,Pepper,Bawa,Sandy,5.3,147.5,26.4,73.8,1021.0,24.6,None,0.0,Drip,3485.3,54.5
Northeast,Yobe,Sudan Savanna,Sorghum,CSR-01,Alluvial,5.4,85.8,87.6,140.0,802.3,34.3,NPK,87.5,Sprinkler,2430.8,28.0
Northcentral,Kogi,Derived Savanna,Cassava,TME 419,Sandy Loam,4.1,35.3,56.5,148.0,1053.4,25.7,Organic,103.5,Rainfed,9042.2,58.2
Northwest,Kaduna,Northern Guinea Savanna,Maize,SAMMAZ 15,Sandy,7.2,120.1,64.3,131.5,1082.1,24.0,NPK,104.1,Rainfed,3715.5,67.2
Northeast,Yobe,Sudan Savanna,Sorghum,SK 5912,Clay Loam,5.2,100.9,31.8,45.8,800.7,35.3,None,0.0,Surface,1921.5,45.0
Southwest,Osun,Derived Savanna,Rice,FARO 52,Loamy,3.9,142.8,30.5,27.7,1157.7,28.0,Urea,174.0,Rainfed,1707.0,79.6
Northcentral,Nasarawa,Northern Guinea Savanna,Yam,Water Yam,Lateritic,7.1,56.7,40.4,131.0,1177.2,35.2,NPK,50.4,Rainfed,6414.1,76.0
Northwest,Kebbi,Sahel Savanna,Sorghum,SK 5912,Clay,7.5,137.7,59.5,113.0,308.9,37.7,Urea,36.9,Drip,3186.4,31.6
Northwest,Kano,Sudan Savanna,Sorghum,SK 5912,Lateritic,6.4,72.6,50.9,169.8,954.4,35.0,NPK,80.9,Rainfed,2047.2,43.7
Northcentral,Kwara,Derived Savanna,Cassava,Oko-Iyawo,Sandy Loam,5.7,133.8,36.5,136.3,1023.2,32.4,SSP,143.0,Surface,11346.3,72.3
Northcentral,Kwara,Derived Savanna,Beans,IT90K-277-2,Clay Loam,6.1,38.8,51.4,20.1,1319.7,27.2,Urea,128.1,Rainfed,496.4,58.6
Northwest,Zamfara,Sahel Savanna,Sorghum,CSR-01,Clay,8.2,144.0,47.9,153.7,551.5,29.8,Urea,102.4,Rainfed,1897.1,27.1
Southwest,Osun,Derived Savanna,Cassava,NR 8082,Alluvial,4.8,19.0,97.9,180.3,1351.6,28.6,None,0.0,Rainfed,9721.2,81.6
Northcentral,Kogi,Derived Savanna,Rice,Ofada,Loamy,5.9,74.7,17.4,52.8,1374.6,33.5,None,0.0,Surface,1793.2,58.6
Southsouth,Delta,Derived Savanna,Pepper,Nsukka Yellow,Sandy Loam,7.7,48.3,35.1,180.0,1050.7,25.7,NPK,110.4,Rainfed,4621.9,67.9
Northcentral,Plateau,Northern Guinea Savanna,Cassava,TMS 98/0505,Clay,7.5,106.9,7.7,118.7,1181.2,20.0,NPK,141.6,Rainfed,1977.0,34.9
Northcentral,Benue,Derived Savanna,Pepper,Bawa,Sandy Loam,7.3,39.5,79.8,166.6,1278.3,34.4,NPK,85.7,Rainfed,4988.3,60.5
Northwest,Zamfara,Sudan Savanna,Sorghum,ICSV 400,Sandy,7.9,97.1,51.0,163.2,787.4,38.0,Organic,29.1,Surface,3113.2,49.7
Northeast,Bauchi,Sudan Savanna,Sorghum,SAMSORG 14,Lateritic,4.8,50.7,20.9,69.0,513.7,33.4,Urea,125.4,Drip,1773.8,47.7
Northwest,Kaduna,Northern Guinea Savanna,Cassava,TMS 98/0505,Sandy Loam,4.4,104.7,103.1,209.2,917.8,29.8,SSP,139.8,Rainfed,8975.6,55.4
Southsouth,Edo,Humid Forest,Cassava,NR 8082,Clay,7.0,11.4,7.3,138.8,2537.4,24.4,Urea,85.9,Rainfed,8200.4,83.8
Southwest,Oyo,Derived Savanna,Rice,NERICA-1,Clay,6.4,106.6,37.8,133.1,1422.9,23.1,None,0.0,Rainfed,3033.9,72.9
Southwest,Oyo,Humid Forest,Rice,Ofada,Clay Loam,8.4,93.5,90.2,68.4,2381.8,24.0,Organic,23.9,Rainfed,2860.2,81.9
Southwest,Ogun,Humid Forest,Cassava,Oko-Iyawo,Sandy Loam,4.8,19.9,48.0,163.5,1856.9,28.6,NPK,99.5,Rainfed,12706.7,87.8
Northwest,Zamfara,Sahel Savanna,Sorghum,SK 5912,Loamy,8.4,124.1,62.7,193.5,273.0,31.0,Urea,31.9,None,300.4,13.0
Southwest,Oyo,Derived Savanna,Cassava,NR 8082,Loamy,5.2,138.5,17.6,82.2,947.5,28.2,Urea,62.3,Rainfed,10482.5,74.2
Northeast,Taraba,Northern Guinea Savanna,Sorghum,SAMSORG 14,Lateritic,5.0,117.7,57.7,25.9,1032.2,30.4,None,0.0,Rainfed,1521.8,64.8
Northcentral,Nasarawa,Derived Savanna,Rice,NERICA-1,Clay Loam,8.5,125.9,12.6,197.2,1068.8,32.9,None,0.0,Rainfed,1919.0,78.7
Northeast,Adamawa,Northern Guinea Savanna,Maize,DMR-LSR-Y,Lateritic,6.0,137.9,83.1,67.0,1154.4,28.3,NPK,168.1,Rainfed,3025.2,46.6
Northcentral,Niger,Derived Savanna,Maize,Oba Super-1,Clay Loam,6.7,78.8,105.1,35.1,1704.8,32.7,NPK,156.6,Rainfed,2670.4,54.0
Northwest,Kaduna,Northern Guinea Savanna,Maize,SAMMAZ 15,Clay,7.2,138.5,25.3,39.4,1240.5,26.9,NPK,70.6,Rainfed,2187.7,41.4
Northcentral,Kogi,Derived Savanna,Cassava,TMS 98/0505,Sandy,5.1,62.0,7.4,71.9,1497.4,29.2,NPK,142.9,Rainfed,8295.0,78.5
Northwest,Sokoto,Sudan Savanna,Sorghum,CSR-01,Loamy,4.8,30.8,71.6,215.6,808.3,39.3,Organic,173.8,Drip,1909.0,56.5
Northwest,Kaduna,Northern Guinea Savanna,Sorghum,CSR-01,Alluvial,7.4,85.6,36.2,148.4,747.1,29.2,None,0.0,Drip,2744.2,45.4
Northwest,Kaduna,Northern Guinea Savanna,Beans,Sampea-14,Clay,6.4,8.7,34.1,64.3,1268.5,26.6,NPK,102.5,Rainfed,934.2,57.3
Southsouth,Delta,Derived Savanna,Cassava,TME 419,Loamy,8.3,15.6,45.9,85.2,1033.0,31.4,NPK,164.5,Surface,7809.8,78.2
Northwest,Kebbi,Sahel Savanna,Sorghum,SAMSORG 14,Clay Loam,7.5,81.9,57.8,149.7,560.0,28.5,NPK,96.4,None,1870.3,40.3
Southsouth,Delta,Derived Savanna,Yam,White Yam,Alluvial,6.6,138.9,26.6,214.6,989.6,33.9,None,0.0,Rainfed,6153.0,69.5
Northwest,Katsina,Northern Guinea Savanna,Pepper,Shombo,Sandy Loam,5.6,81.2,41.7,128.2,1182.5,26.5,NPK,107.1,Rainfed,4377.8,58.1
Southeast,Abia,Humid Forest,Rice,FARO 52,Clay Loam,6.7,124.5,24.3,121.6,1982.2,31.9,NPK,125.0,Rainfed,3994.9,69.6
Northcentral,Kogi,Derived Savanna,Cassava,TMS 98/0505,Sandy Loam,4.5,120.9,57.7,170.0,1030.9,22.8,None,0.0,Drip,8740.3,58.6
Northwest,Kebbi,Sudan Savanna,Sorghum,CSR-01,Sandy Loam,4.6,66.6,75.3,48.1,960.8,31.1,None,0.0,Rainfed,1112.3,31.6
Northcentral,Plateau,Northern Guinea Savanna,Beans,IT89KD-288,Loamy,6.4,64.7,90.3,146.0,973.5,28.3,Urea,137.9,Surface,1672.3,38.9
Northwest,Kano,Sudan Savanna,Sorghum,SAMSORG 14,Clay Loam,5.0,96.5,33.6,196.5,600.6,29.9,Urea,174.0,Rainfed,1467.0,34.8
Northcentral,Plateau,Northern Guinea Savanna,Cassava,TMS 98/0505,Alluvial,5.8,18.3,39.5,220.3,1265.1,22.0,None,0.0,Rainfed,6040.3,60.0
Southeast,Imo,Humid Forest,Yam,Pona,Lateritic,7.2,71.2,96.9,207.3,1896.5,28.1,NPK,120.6,Rainfed,7142.8,81.3
Northcentral,Kwara,Derived Savanna,Rice,FARO 44,Sandy,6.6,69.8,47.2,56.0,1416.7,33.6,Urea,167.3,Rainfed,3481.4,89.6
Southeast,Enugu,Humid Forest,Yam,Aerial Yam,Clay Loam,7.4,94.9,78.7,113.6,1450.8,25.4,NPK,30.0,Rainfed,7804.7,84.7
Southwest,Osun,Derived Savanna,Yam,Yellow Yam,Sandy Loam,7.5,84.9,75.1,107.5,1661.0,33.4,NPK,58.6,Surface,7432.7,70.8
Northeast,Taraba,Northern Guinea Savanna,Sorghum,SAMSORG 17,Clay,4.9,49.5,61.6,206.7,943.2,27.3,NPK,137.9,Sprinkler,1719.2,39.6
Northwest,Katsina,Northern Guinea Savanna,Sorghum,SAMSORG 17,Clay Loam,7.7,87.3,112.5,168.3,844.5,32.7,None,0.0,Surface,2654.5,40.4
Southwest,Oyo,Humid Forest,Cassava,Oko-Iyawo,Lateritic,5.0,39.0,52.7,156.8,1640.1,23.8,None,0.0,Rainfed,9730.8,73.1
Northwest,Zamfara,Sudan Savanna,Sorghum,ICSV 400,Lateritic,4.4,81.0,74.8,135.1,908.1,31.7,Urea,158.3,Drip,1459.3,53.2
Southeast,Imo,Humid Forest,Rice,FARO 44,Loamy,8.3,72.8,50.6,81.7,2083.3,24.5,Urea,141.3,Rainfed,2602.0,90.3
Northcentral,Niger,Northern Guinea Savanna,Sorghum,CSR-01,Clay,7.9,53.8,27.4,193.2,1127.0,24.1,NPK,149.2,Rainfed,1773.8,46.9
Northcentral,Kwara,Derived Savanna,Cassava,TMS 98/0505,Lateritic,6.1,9.9,19.3,203.5,1489.5,27.1,Urea,164.7,Rainfed,12160.2,61.7
Northeast,Bauchi,Northern Guinea Savanna,Sorghum,SK 5912,Alluvial,7.0,92.3,30.3,37.0,1017.7,35.4,NPK,89.2,Drip,2105.2,55.8
Northeast,Bauchi,Northern Guinea Savanna,Sorghum,SAMSORG 14,Lateritic,6.1,122.6,23.5,81.3,815.1,27.6,Organic,90.5,Rainfed,2993.8,47.9
Northcentral,Niger,Northern Guinea Savanna,Beans,IT97K-499-35,Clay Loam,8.5,9.6,95.5,167.5,1241.0,25.0,NPK,79.9,Rainfed,1003.9,65.7
Northcentral,Niger,Derived Savanna,Rice,NERICA-4,Clay,7.3,107.3,24.2,178.7,1516.3,28.3,Organic,88.4,Drip,3366.0,83.4
Northeast,Taraba,Northern Guinea Savanna,Sorghum,SAMSORG 14,Alluvial,4.3,19.6,22.5,39.5,925.8,30.8,NPK,99.0,Rainfed,1099.4,62.9
Northwest,Zamfara,Sahel Savanna,Sorghum,SK 5912,Loamy,5.1,61.0,80.6,31.8,545.1,32.9,NPK,111.7,Rainfed,1539.0,36.5
Southsouth,Edo,Derived Savanna,Maize,SAMMAZ 14,Clay Loam,8.3,149.4,49.1,137.0,1366.9,34.6,Organic,105.4,Rainfed,3527.3,66.8
Northeast,Bauchi,Sudan Savanna,Beans,Sampea-14,Sandy,6.7,140.3,95.9,84.3,496.7,28.6,Organic,128.1,Rainfed,1482.4,60.5
Northeast,Taraba,Northern Guinea Savanna,Sorghum,CSR-01,Sandy,7.6,38.9,35.2,185.0,902.2,31.7,NPK,50.8,Rainfed,2594.4,57.1
Southeast,Anambra,Humid Forest,Rice,FARO 44,Clay,6.5,76.1,35.7,212.3,1605.5,33.4,None,0.0,Rainfed,3339.0,99.4
Southsouth,Edo,Derived Savanna,Yam,Yellow Yam,Loamy,6.9,86.5,26.9,125.4,1499.5,23.5,NPK,28.6,Rainfed,7156.6,75.7
Northwest,Kebbi,Sudan Savanna,Sorghum,CSR-01,Sandy Loam,5.6,113.7,6.4,118.5,990.6,35.6,Organic,174.4,Drip,316.0,35.4
Southeast,Abia,Humid Forest,Rice,NERICA-4,Sandy Loam,7.4,107.6,22.2,187.4,2387.0,29.4,NPK,60.3,Rainfed,3035.7,84.5
Northcentral,Nasarawa,Derived Savanna,Cassava,TME 419,Clay,4.3,34.1,110.9,138.5,989.4,33.8,NPK,104.0,Drip,10452.8,69.3
Northcentral,Niger,Northern Guinea Savanna,Cassava,TMS 30572,Loamy,4.4,8.3,93.2,110.8,1099.5,23.2,NPK,150.7,None,6341.2,73.3
Southwest,Osun,Derived Savanna,Cassava,NR 8082,Sandy,4.8,100.9,14.5,125.8,1636.8,26.1,Organic,38.7,Rainfed,11325.8,63.8
Northcentral,Niger,Derived Savanna,Cassava,NR 8082,Alluvial,5.3,81.8,12.9,204.6,1505.9,33.7,NPK,73.4,Rainfed,11240.1,72.4
Northcentral,Kwara,Derived Savanna,Rice,NERICA-4,Alluvial,7.4,64.8,92.9,29.0,1138.7,35.0,NPK,149.4,Rainfed,3214.3,76.6
Southsouth,Edo,Derived Savanna,Pepper,Nsukka Yellow,Sandy,7.2,130.1,62.7,86.4,1489.7,26.7,NPK,134.6,Rainfed,3812.2,50.9
Northcentral,Niger,Northern Guinea Savanna,Sorghum,CSR-01,Clay,7.1,128.5,7.1,24.6,1297.2,22.7,Urea,145.2,Rainfed,267.2,33.1
Southwest,Ondo,Humid Forest,Cassava,Oko-Iyawo,Lateritic,4.6,13.6,42.1,78.5,1854.3,28.9,Organic,133.8,Rainfed,12963.6,77.1
Southwest,Oyo,Humid Forest,Rice,FARO 52,Clay Loam,5.4,45.3,68.9,56.4,1510.1,31.0,None,0.0,Rainfed,1637.0,78.5
Southwest,Oyo,Derived Savanna,Cassava,Oko-Iyawo,Alluvial,5.8,20.2,36.3,218.1,1060.0,27.7,NPK,37.3,Rainfed,10896.3,63.6
Southeast,Anambra,Humid Forest,Rice,Ofada,Clay Loam,5.1,78.7,97.3,160.0,2318.2,30.9,NPK,151.2,Rainfed,3685.0,88.7
Northeast,Bauchi,Northern Guinea Savanna,Tomato,Tropimech,Loamy,4.2,99.9,89.1,47.9,943.4,30.5,NPK,33.2,Rainfed,8622.9,52.4
Southeast,Anambra,Humid Forest,Cassava,Oko-Iyawo,Sandy,4.9,8.2,59.2,157.4,2532.9,25.7,Urea,51.0,Drip,6421.8,97.7
Northwest,Kano,Sudan Savanna,Sorghum,SAMSORG 14,Clay,6.0,27.8,7.2,117.9,908.8,29.8,NPK,132.3,Rainfed,392.6,37.2
Southeast,Ebonyi,Humid Forest,Cassava,TMS 98/0505,Sandy,4.7,12.7,53.2,102.5,1782.7,24.8,NPK,113.0,Surface,11469.6,77.1
Southsouth,Bayelsa,Humid Forest,Rice,NERICA-1,Clay,5.1,101.9,65.4,217.8,2615.0,25.4,Organic,108.9,Rainfed,4194.5,78.6
Southwest,Ondo,Humid Forest,Rice,NERICA-1,Clay,8.5,61.4,33.9,152.7,2364.6,27.5,NPK,170.7,Sprinkler,2838.2,74.5
Northeast,Taraba,Northern Guinea Savanna,Sorghum,SAMSORG 14,Sandy,6.5,11.3,31.3,24.0,1171.7,30.1,NPK,52.7,None,568.6,49.3
Southwest,Ondo,Humid Forest,Cassava,TMS 30572,Sandy Loam,4.9,106.6,42.1,138.7,1447.3,33.6,Organic,124.6,Surface,11863.0,65.5
Southeast,Abia,Humid Forest,Cassava,TMS 98/0505,Clay Loam,7.9,36.5,73.3,79.5,1986.0,25.8,NPK,46.3,Rainfed,7643.7,86.1
Northcentral,Kogi,Derived Savanna,Cassava,NR 8082,Clay,7.0,125.7,6.7,200.9,1191.5,29.5,NPK,52.1,Drip,7238.7,79.5
Northwest,Kaduna,Northern Guinea Savanna,Yam,Pona,Clay Loam,7.2,29.5,99.1,174.8,1222.6,29.5,None,0.0,Rainfed,6335.7,69.7
Northeast,Taraba,Northern Guinea Savanna,Cassava,TME 419,Alluvial,3.9,129.1,39.7,67.3,870.7,26.3,NPK,119.4,Rainfed,6317.9,58.3
Southwest,Oyo,Humid Forest,Rice,NERICA-4,Clay,7.0,28.2,67.8,38.7,1449.8,32.7,None,0.0,Rainfed,328.7,82.3
Southwest,Oyo,Derived Savanna,Cassava,TME 419,Loamy,5.9,32.0,10.0,156.4,1495.4,32.4,None,0.0,Rainfed,11035.4,76.4
Southsouth,Delta,Derived Savanna,Cassava,TMS 98/0505,Sandy,5.0,19.3,27.6,168.4,1262.2,33.4,Organic,71.2,Rainfed,11166.8,77.7
Northeast,Gombe,Sudan Savanna,Sorghum,ICSV 400,Lateritic,6.8,49.8,49.3,88.4,517.3,35.3,NPK,90.8,Rainfed,2258.3,32.6
Southsouth,Bayelsa,Humid Forest,Cassava,Oko-Iyawo,Sandy Loam,6.4,25.4,100.2,103.5,1616.5,26.3,Urea,163.2,Rainfed,11854.1,81.1
Northwest,Katsina,Sudan Savanna,Sorghum,SK 5912,Clay,8.5,139.8,15.9,193.6,740.9,29.4,NPK,156.0,None,2312.5,49.7
Southeast,Enugu,Humid Forest,Rice,FARO 44,Clay,5.8,131.8,51.1,151.4,2204.1,34.2,Organic,177.2,Rainfed,3852.4,81.4
Northcentral,Nasarawa,Northern Guinea Savanna,Cassava,TME 419,Loamy,5.6,137.4,12.4,95.9,1173.3,20.2,Organic,70.9,Rainfed,6202.9,53.3
Northcentral,Niger,Northern Guinea Savanna,Pepper,Tatase,Sandy Loam,6.8,62.5,26.7,96.5,973.0,24.8,Organic,96.0,Rainfed,4339.4,66.1
Southsouth,Akwa Ibom,Humid Forest,Cassava,Oko-Iyawo,Alluvial,5.9,46.3,70.9,218.1,2408.4,30.8,None,0.0,Rainfed,7808.3,68.3
Southwest,Oyo,Derived Savanna,Yam,Aerial Yam,Clay Loam,7.3,147.8,28.3,140.7,1542.6,24.8,NPK,54.3,Rainfed,7728.7,68.0
Northwest,Kaduna,Northern Guinea Savanna,Beans,IT97K-499-35,Lateritic,7.9,42.8,89.7,68.8,1105.5,29.9,NPK,33.0,Rainfed,1189.2,52.3
Northcentral,Niger,Derived Savanna,Pepper,Nsukka Yellow,Lateritic,5.7,64.1,62.8,130.1,1239.9,29.2,Urea,46.0,Surface,4562.5,56.2
Southwest,Ondo,Humid Forest,Yam,Aerial Yam,Alluvial,8.0,47.5,88.4,140.3,1756.7,30.0,NPK,41.5,Rainfed,6516.2,72.5
Southsouth,Delta,Derived Savanna,Cassava,NR 8082,Clay,5.5,99.5,6.8,177.3,981.9,30.5,NPK,129.1,Rainfed,6925.6,58.5
Southwest,Osun,Humid Forest,Rice,Ofada,Sandy,7.3,120.8,14.5,162.3,2495.7,28.2,NPK,23.7,Drip,3113.3,73.2
Southeast,Anambra,Humid Forest,Yam,Yellow Yam,Clay Loam,7.4,56.8,78.9,125.1,1494.0,29.1,NPK,71.6,Rainfed,7567.6,98.5
Southsouth,Edo,Derived Savanna,Rice,FARO 44,Clay Loam,4.7,118.1,34.6,38.9,1167.7,25.6,NPK,39.6,Surface,3325.1,66.7
Northcentral,Plateau,Northern Guinea Savanna,Sorghum,SAMSORG 17,Lateritic,5.7,57.6,13.8,122.6,983.7,33.9,NPK,174.7,Rainfed,2345.0,37.0
Northeast,Gombe,Sudan Savanna,Sorghum,SK 5912,Sandy Loam,7.0,107.4,10.3,171.1,424.0,27.4,None,0.0,Rainfed,741.9,55.5
Northcentral,Plateau,Northern Guinea Savanna,Cassava,TMS 30572,Clay Loam,4.4,132.2,50.1,144.2,1102.1,22.1,Organic,100.5,Surface,7401.2,70.6
Northeast,Taraba,Northern Guinea Savanna,Maize,SAMMAZ 15,Clay Loam,7.7,137.4,69.6,118.1,948.2,30.8,None,0.0,Rainfed,3165.8,57.7
Northeast,Bauchi,Northern Guinea Savanna,Sorghum,CSR-01,Sandy,6.6,51.3,50.2,188.8,983.0,30.3,NPK,50.7,Rainfed,2331.2,38.0
Southwest,Oyo,Humid Forest,Cassava,TMS 30572,Loamy,5.7,16.2,5.0,198.3,1769.4,31.2,NPK,57.7,Rainfed,2647.9,75.9
Northcentral,Plateau,Northern Guinea Savanna,Pepper,Tatase,Sandy,5.7,97.0,25.0,119.9,827.0,20.2,NPK,145.8,Drip,3012.6,54.7
Northcentral,Benue,Derived Savanna,Yam,Water Yam,Sandy,7.9,64.2,107.2,147.2,1617.8,30.2,None,0.0,Drip,5443.9,80.0
Northwest,Katsina,Sudan Savanna,Sorghum,ICSV 400,Loamy,7.1,129.0,100.5,198.9,848.6,34.9,NPK,124.2,Rainfed,2431.3,40.2
Northeast,Bauchi,Sudan Savanna,Sorghum,ICSV 400,Loamy,6.7,78.0,63.3,62.3,529.8,31.6,Organic,119.6,Rainfed,2213.1,29.9
Northeast,Bauchi,Northern Guinea Savanna,Maize,SAMMAZ 14,Sandy Loam,4.4,87.4,100.1,42.7,734.4,24.5,None,0.0,Drip,1698.1,50.2
Northeast,Bauchi,Sudan Savanna,Sorghum,SAMSORG 14,Sandy,7.3,42.5,89.4,42.4,869.9,32.0,NPK,152.8,Rainfed,2311.0,58.5
Southwest,Oyo,Derived Savanna,Maize,Oba Super-1,Alluvial,6.8,96.5,28.6,66.0,1526.4,34.8,NPK,166.8,Surface,2830.0,52.0
Northcentral,Kogi,Derived Savanna,Cassava,TME 419,Clay,6.0,133.6,15.4,103.0,945.5,33.6,NPK,54.2,Surface,9464.7,60.7
Southeast,Enugu,Humid Forest,Cassava,TME 419,Clay,4.5,60.8,78.3,110.1,1949.2,30.5,NPK,102.9,Rainfed,9572.0,96.7
Northeast,Yobe,Sahel Savanna,Sorghum,SAMSORG 14,Sandy,6.9,82.4,109.0,134.0,637.4,40.2,Urea,99.1,Drip,3414.4,40.8
Northcentral,Niger,Derived Savanna,Rice,NERICA-1,Sandy Loam,6.3,147.3,103.8,16.7,1585.2,31.6,Organic,159.5,Rainfed,656.3,74.3
Northeast,Bauchi,Sudan Savanna,Sorghum,CSR-01,Sandy,4.9,42.5,87.4,16.4,833.8,28.1,None,0.0,Rainfed,562.8,25.3
Northwest,Kebbi,Sahel Savanna,Sorghum,SAMSORG 14,Sandy Loam,6.6,131.8,54.1,154.5,605.4,32.5,NPK,72.1,Rainfed,1871.6,34.2
Northeast,Bauchi,Sudan Savanna,Sorghum,CSR-01,Alluvial,8.0,52.7,111.9,148.0,918.2,32.8,None,0.0,Surface,1896.8,34.8
Northwest,Kaduna,Northern Guinea Savanna,Sorghum,SAMSORG 14,Sandy,7.7,41.7,23.8,50.4,1009.6,26.7,SSP,54.5,Rainfed,2186.7,72.2
Northcentral,Nasarawa,Derived Savanna,Cassava,TME 419,Clay Loam,4.6,63.5,83.9,197.9,1279.6,26.7,NPK,114.0,Drip,8053.0,52.5
Northeast,Taraba,Northern Guinea Savanna,Tomato,Dan Mazari,Alluvial,4.9,62.9,42.2,98.6,960.9,20.4,NPK,137.4,Rainfed,10696.0,42.3
Northeast,Adamawa,Northern Guinea Savanna,Sorghum,SAMSORG 17,Alluvial,7.1,132.1,40.4,185.7,802.6,28.0,Urea,143.2,Rainfed,2936.9,45.6
Southsouth,Delta,Derived Savanna,Pepper,Atarugu,Lateritic,5.5,46.3,84.1,96.8,1480.1,30.3,Urea,82.3,Surface,4507.4,55.6
Northeast,Gombe,Sudan Savanna,Beans,IT89KD-288,Sandy,7.4,101.9,72.8,84.3,578.5,26.3,NPK,156.4,Rainfed,1364.1,59.6
Southsouth,Edo,Derived Savanna,Rice,FARO 44,Clay Loam,5.4,97.8,107.2,22.2,1032.6,30.8,Urea,120.6,Rainfed,1542.3,63.6
Northcentral,Nasarawa,Derived Savanna,Pepper,Tatase,Sandy,7.6,52.4,39.5,87.4,1195.6,24.3,Urea,63.3,None,3984.8,69.9
Southeast,Anambra,Humid Forest,Rice,NERICA-4,Clay Loam,5.5,144.9,52.1,165.0,1612.6,30.5,None,0.0,Rainfed,3668.9,85.4
Northeast,Adamawa,Northern Guinea Savanna,Cassava,Oko-Iyawo,Loamy,4.1,122.3,84.4,208.8,1262.0,23.3,Urea,40.3,Surface,9437.7,79.1
Southeast,Anambra,Humid Forest,Rice,NERICA-1,Loamy,5.8,90.3,80.0,31.3,1822.0,25.7,NPK,129.3,Surface,3739.8,70.6
Northwest,Zamfara,Sahel Savanna,Sorghum,CSR-01,Alluvial,4.7,48.4,24.9,63.0,402.8,39.5,Organic,88.8,Rainfed,1030.0,41.9
Northwest,Kebbi,Sahel Savanna,Sorghum,SK 5912,Lateritic,6.5,19.2,51.3,69.3,447.4,31.3,Urea,164.8,Surface,2596.5,27.3
Northeast,Bauchi,Northern Guinea Savanna,Cassava,NR 8082,Alluvial,5.4,30.4,101.7,103.6,1014.8,30.7,Organic,43.2,Rainfed,9994.6,58.5
Southsouth,Edo,Derived Savanna,Maize,DMR-LSR-Y,Loamy,6.4,81.5,36.5,182.1,1245.0,22.9,NPK,131.9,Sprinkler,4459.0,63.4
Northcentral,Nasarawa,Derived Savanna,Cassava,TMS 98/0505,Clay,4.2,113.9,74.1,89.7,1304.8,23.1,SSP,111.4,Drip,9096.9,76.8
Southwest,Kwara,Derived Savanna,Yam,Pona,Loamy,6.5,55.5,94.7,128.9,1629.7,32.4,SSP,175.4,Drip,8033.0,62.9
Northcentral,Niger,Derived Savanna,Yam,Pona,Loamy,8.2,145.6,69.7,160.7,1673.3,35.7,NPK,54.3,Rainfed,6433.2,64.1
Southeast,Imo,Humid Forest,Rice,FARO 52,Alluvial,7.3,51.9,32.9,40.8,2363.3,27.1,SSP,106.8,Rainfed,2677.4,79.9
Northeast,Taraba,Northern Guinea Savanna,Sorghum,CSR-01,Sandy Loam,4.4,14.5,73.6,19.7,734.6,22.7,Organic,140.1,None,1343.4,54.0
Northeast,Borno,Sahel Savanna,Sorghum,SAMSORG 14,Lateritic,7.0,14.4,66.5,206.6,308.1,30.3,SSP,20.8,Surface,1165.4,39.1
Northeast,Adamawa,Northern Guinea Savanna,Maize,DMR-LSR-Y,Sandy Loam,8.4,130.0,37.7,84.7,1320.8,26.8,Urea,86.9,Drip,3676.8,61.7
Northcentral,Plateau,Northern Guinea Savanna,Sorghum,SAMSORG 17,Loamy,4.2,146.4,73.8,16.3,1245.8,26.6,Urea,54.6,Surface,877.2,43.8
Southsouth,Edo,Derived Savanna,Rice,NERICA-1,Loamy,6.5,37.0,55.6,32.6,1138.2,33.6,NPK,169.6,Rainfed,919.7,54.6
